,start_date,end_date,Start,End,Gross profit,Gross loss,Total Net profit,Return on initial capital,Profit factor,Total number of trades,%sell,%buy,Winning trades,Lossing trades,%profitable,Avg.Trade Net profit,Avg.Winning trade,Avg.Lossing trade,Ratio Avg.Win:Avg.Loss,Largest Winning trade,Largest Lossing trade,Cost,MD,IR/SR,ROI,MAE
RIDGE,1/1/2003 0:00,12/30/2022 0:00,10000,10003.48718,2333.8849,-2330.39772,3.487180000000535,0.00%,-1.001496388,2790,50.30%,49.70%,1388,1402,49.70%,0.001249885,1.6814732708933717,-1.662195235,-1.011597937,3.832520000000006,-5.2536,3951.6965400000004,-0.008930066,0.000454766,0.000348718,0.003559725
SVM,1/1/2003 0:00,12/30/2022 0:00,10000,9986.59292,443.41491999999994,-456.822,-13.40708,-0.10%,-0.970651413,4,100.00%,0.00%,4,0,100.00%,-3.35177,110.85372999999998,#NAME?,0,2.1378599999999968,-1.625,5.5189200000000005,-0.003392866,-0.005597587,-0.001340708,0.006722143
KNN,1/1/2003 0:00,12/30/2022 0:00,10000,10147.140519999999,910.0793399999999,-762.93882,147.14052000000015,1.50%,-1.192860182,968,55.10%,44.90%,531,437,54.90%,0.15200466942148777,1.7138970621468925,-1.745855423,-0.981694726,3.095999999999996,-2.9614,1372.9922800000002,-0.008306782,0.029619474179138707,0.014714051999999901,0.004987598
RF,1/1/2003 0:00,12/30/2022 0:00,10000,10067.972899999999,1721.49184,-1653.51894,67.97289999999998,0.70%,-1.041108026,1960,51.10%,48.90%,987,973,50.40%,0.034680051,1.7441659979736575,-1.699402816,-1.026340537,3.832520000000006,-4.6127,2775.6725000000006,-0.0087006,0.009557427,0.00679729,0.004213614
XGBOOST,1/1/2003 0:00,12/30/2022 0:00,10000,10220.19718,341.8631600000001,-121.66598,220.19718000000003,2.20%,-2.80985005,255,81.20%,18.80%,200,55,78.40%,0.8635183529411766,1.7093158000000006,-2.212108727,-0.772708764,3.832520000000006,-3.04054,378.64134,-0.00323591,0.080439952,0.022019718,0.005128903
MAs,1/1/2003 0:00,12/30/2022 0:00,10000,9947.44038,2194.1788999999994,-2246.73852,-52.55962,-0.50%,-0.976606259,242,50.00%,50.00%,121,121,50.00%,-0.217188512,18.133709917355368,-18.56808694,-0.976606259,4.059999999999997,-3.34,357.11042,-0.011847065,-0.008468726,-0.005124599,
benchmark,1/1/2003 0:00,12/30/2022 0:00,10000,10061.0106,1092.2640000000001,-1031.2534,61.01060000000052,0.60%,-1.059161599,2,50.00%,50.00%,0,1,0.00%,30.50530000000026,inf,-1031.2534,#NAME?,3.3399999999999985,-4.06,2.3206800000000003,-0.003438243,0.022064256214883157,0.006233923,
