,start_date,end_date,Start,End,Gross profit,Gross loss,Total Net profit,Return on initial capital,Profit factor,Total number of trades,%sell,%buy,Winning trades,Lossing trades,%profitable,Avg.Trade Net profit,Avg.Winning trade,Avg.Lossing trade,Ratio Avg.Win:Avg.Loss,Largest Winning trade,Largest Lossing trade,Cost,MD,IR/SR,ROI,MAE
RIDGE,1/1/2003 0:00,12/30/2022 0:00,10000,9655.088839999999,3804.8050199999993,-4149.71618,-344.91116,-3.40%,-0.916883193,2775,48.00%,52.00%,1331,1444,48.00%,-0.12429231,2.858606326070623,-2.873764668,-0.994725267,5.9032,-6.0336,6909.54956,-0.040605692,-0.024021779,-0.034491116,0.002651994
SVM,1/1/2003 0:00,12/30/2022 0:00,10000,9954.380799999999,557.57152,-603.19072,-45.6192,-0.50%,-0.924370189,4,25.00%,75.00%,1,3,25.00%,-11.4048,557.57152,-201.0635733,-2.773110568,2.8629999999999933,-4.81058,9.81824,-0.007031972,-0.013948242,-0.00456192,0.004807037
KNN,1/1/2003 0:00,12/30/2022 0:00,10000,9971.77146,1672.82046,-1701.049,-28.22854,-0.30%,-0.983405216,1182,49.40%,50.60%,582,599,49.20%,-0.023882014,2.8742619587628866,-2.839814691,-1.012130111,5.9032,-5.20382,2919.4434,-0.018328774,-0.003027107,-0.002822854,0.003663074
RF,1/1/2003 0:00,12/30/2022 0:00,10000,9795.10282,2637.2624399999995,-2842.15962,-204.89718,-2.00%,-0.927907927,1908,47.50%,52.50%,911,996,47.70%,-0.107388459,2.894909374,-2.853573916,-1.014485505,5.9032,-5.20382,4750.201800000001,-0.025525053,-0.017171282,-0.020489718,0.003054022
XGBOOST,1/1/2003 0:00,12/30/2022 0:00,10000,10082.44662,129.68008000000003,-47.23346,82.44662000000007,0.80%,-2.745513032,57,77.20%,22.80%,44,13,77.20%,1.4464319298245625,2.947274545454546,-3.633343077,-0.811174305,3.6837800000000134,-3.1108,145.08754,-0.002443059,0.039639184,0.008244662,0.003936089
MAs,1/1/2003 0:00,12/30/2022 0:00,10000,10082.829000000002,2927.2962399999997,-2844.46724,82.82900000000063,0.80%,-1.029119337,166,50.00%,50.00%,83,83,50.00%,0.4989698795180761,35.26862939759036,-34.27068964,-1.029119337,5.324600000000009,-4.6436,417.57448,-0.00809499,0.010615690974076648,0.008608277,
benchmark,1/1/2003 0:00,12/30/2022 0:00,10000,10032.896,1415.8249999999998,-1382.929,32.89600000000041,0.30%,-1.023787194,2,50.00%,50.00%,0,1,0.00%,16.448000000000206,inf,-1382.929,#NAME?,4.559999999999986,-3.6,4.236140000000001,-0.00547002,0.00949609,0.003613366,
