,start_date,end_date,Start,End,Gross profit,Gross loss,Total Net profit,Return on initial capital,Profit factor,Total number of trades,%sell,%buy,Winning trades,Lossing trades,%profitable,Avg.Trade Net profit,Avg.Winning trade,Avg.Lossing trade,Ratio Avg.Win:Avg.Loss,Largest Winning trade,Largest Lossing trade,Cost,MD,IR/SR,ROI,MAE
RIDGE,1/1/2003 0:00,12/30/2022 0:00,10000,9701.494639999997,3191.834499999999,-3490.33986,-298.50536,-3.00%,-0.914476707,2779,48.40%,51.60%,1344,1435,48.40%,-0.107414667,2.374876860119047,-2.432292585,-0.9763944,5.2220000000000235,-4.6966,5819.58204,-0.034344533,-0.024803229,-0.029955359,0.002806028
SVM,1/1/2003 0:00,12/30/2022 0:00,10000,10029.072939999998,1188.19884,-1159.1259,29.07293999999888,0.30%,-1.025081779,4,50.00%,50.00%,1,3,25.00%,7.268235,1188.19884,-386.3753,-3.075245338,4.020000000000001,-12.822,7.699140000000001,-0.00732881,0.006434622,0.002907294,0.015356650709438407
KNN,1/1/2003 0:00,12/30/2022 0:00,10000,10110.22494,1589.0878,-1478.86286,110.22493999999983,1.10%,-1.074533578,1210,53.20%,46.80%,640,570,52.90%,0.091094992,2.482949688,-2.594496246,-0.957006468,6.828400000000006,-4.6966,2534.51686,-0.012146649,0.013537346,0.011022494000000006,0.003799046
RF,1/1/2003 0:00,12/30/2022 0:00,10000,10030.290439999999,2373.172059999999,-2342.88162,30.290439999998853,0.30%,-1.012928711,1944,51.40%,48.60%,996,948,51.20%,0.015581502057612578,2.3827028714859426,-2.471394114,-0.96411287,5.900199999999998,-4.5274,4091.62912,-0.010683879,0.002938599,0.002920668,0.003258287
XGBOOST,1/1/2003 0:00,12/30/2022 0:00,10000,10070.8904,263.00037999999995,-192.10998,70.89039999999989,0.70%,-1.36900946,198,62.10%,37.90%,122,76,61.60%,0.35803232323232265,2.155740819672131,-2.527762895,-0.852825565,4.713559999999994,-3.9346,398.54296000000005,-0.005013213,0.022821361365701617,0.00708904,0.004051533
MAs,1/1/2003 0:00,12/30/2022 0:00,10000,9875.719039999998,2456.9878000000003,-2581.26876,-124.28096,-1.20%,-0.951852763,165,50.30%,49.70%,82,83,49.70%,-0.753217939,29.96326585365854,-31.09962361,-0.963460723,3.406000000000009,-12.822,339.8928,-0.015660836,-0.016991472,-0.012534801,
benchmark,1/1/2003 0:00,12/30/2022 0:00,10000,10009.8164,1238.5520000000006,-1228.7356,9.816400000000613,0.10%,-1.007989025,2,50.00%,50.00%,0,1,0.00%,4.908200000000306,inf,-1228.7356,#NAME?,7.594000000000001,-12.822,4.62012,-0.005770879,0.003093489,0.001089818,
