,start_date,end_date,Start,End,Gross profit,Gross loss,Total Net profit,Return on initial capital,Profit factor,Total number of trades,%sell,%buy,Winning trades,Lossing trades,%profitable,Avg.Trade Net profit,Avg.Winning trade,Avg.Lossing trade,Ratio Avg.Win:Avg.Loss,Largest Winning trade,Largest Lossing trade,Cost,MD,IR/SR,ROI,MAE
RIDGE,1/1/2003 0:00,12/30/2022 0:00,10000,9833.00884,3683.0036799999993,-3849.99484,-166.99116,-1.70%,-0.956625615,2766,49.30%,50.70%,1357,1408,49.10%,-0.060372798,2.7140778776713335,-2.734371335,-0.992578383,7.360800000000002,-5.00398,6599.370820000001,-0.030238574,-0.012217904,-0.016699116,0.002598293
SVM,1/1/2003 0:00,12/30/2022 0:00,10000,10041.63128,583.9795199999996,-542.34824,41.63127999999972,0.40%,-1.07676116,3,33.30%,66.70%,1,2,33.30%,13.87709333333324,583.9795199999996,-271.17412,-2.15352232,4.249999999999998,-4.82,6.38176,-0.002410736,0.011657898412510513,0.004163128,0.004507023
KNN,1/1/2003 0:00,12/30/2022 0:00,10000,9917.3759,1654.213,-1736.8371,-82.6241,-0.80%,-0.952428411,1213,47.40%,52.60%,580,633,47.80%,-0.068115499,2.8520913793103446,-2.743818483,-1.039460663,4.6446,-5.3456,2899.23318,-0.021138867,-0.00865505,-0.007889714,0.003453633
RF,1/1/2003 0:00,12/30/2022 0:00,10000,10031.3676,2850.5653399999997,-2819.19774,31.367599999999584,0.30%,-1.011126428,2041,50.20%,49.80%,1026,1015,50.30%,0.015368740813326596,2.7783287914230015,-2.777534719,-1.000285891,6.093200000000008,-4.823,4878.57696,-0.029279324,0.00273679,0.00313676,0.002938656
XGBOOST,1/1/2003 0:00,12/30/2022 0:00,10000,9918.04522,130.68051999999994,-212.6353,-81.95478,-0.80%,-0.614575849,145,37.90%,62.10%,55,90,37.90%,-0.565205379,2.3760094545454535,-2.362614444,-1.005669571,4.32106,-3.55622,299.17982,-0.010788799,-0.030116606,-0.008195478,0.00387803
MAs,1/1/2003 0:00,12/30/2022 0:00,10000,9991.33516,2660.6944600000006,-2669.3593,-8.66484,-0.10%,-0.996753963,182,50.00%,50.00%,91,91,50.00%,-0.047609011,29.238400659340666,-29.33361868,-0.996753963,4.249999999999998,-4.82,448.03276000000005,-0.010598367,-0.001603729,-0.001241678,
benchmark,1/1/2003 0:00,12/30/2022 0:00,10000,10006.9874,1285.142,-1278.1546,6.9874,0.10%,-1.005466788,2,50.00%,50.00%,0,1,0.00%,3.4937,inf,-1278.1546,#NAME?,4.249999999999998,-4.82,5.854900000000001,-0.006515682,0.003101044,0.001074804,
