,start_date,end_date,Start,End,Gross profit,Gross loss,Total Net profit,Return on initial capital,Profit factor,Total number of trades,%sell,%buy,Winning trades,Lossing trades,%profitable,Avg.Trade Net profit,Avg.Winning trade,Avg.Lossing trade,Ratio Avg.Win:Avg.Loss,Largest Winning trade,Largest Lossing trade,Cost,MD,IR/SR,ROI,MAE
RIDGE,1/1/2003 0:00,12/30/2022 0:00,10000,10008.07,2712.8874,-2704.82,8.07038,0,-1,2756,50%,50%,1383,1373,50%,0,1.961596095,-1.97,-1,5.07634,-5.82,4471.40406,-0.02,0,0,0
SVM,1/1/2003 0:00,12/30/2022 0:00,10000,10014.07774,590.70174,-576.62,14.07774,0,-1.02,4,75%,25%,3,1,75%,3.519435,196.90058,-576.62,-0.34,2.692,-2.23,6.10874,0,0.01,0,0.01
KNN,1/1/2003 0:00,12/30/2022 0:00,10000,10158.15,1081.21056,-923.06,158.15008,0.02,-1.17,1046,55%,45%,570,476,55%,0.151195105,1.896860632,-1.94,-0.98,4.342,-6.55,1667.99,-0.01,0.03,0.015815008,0
RF,1/1/2003 0:00,12/30/2022 0:00,10000,9975.71,1881.1468,-1905.44,-24.29,0,-0.99,1920,50%,50%,953,967,50%,-0.01,1.973921091,-1.97,-1,6.13,-4.6,3096.6453,-0.02,0,0,0
XGBOOST,1/1/2003 0:00,12/30/2022 0:00,10000,10267.13,467.32648,-200.19,267.1344,0.03,-2.33,324,76%,24%,242,82,75%,0.824488889,1.931101157,-2.44,-0.79,5.07634,-4.46,566.32,0,0.07,0.03,0
MA,1/1/2003 0:00,12/30/2022 0:00,10000,9946.16,2353.56,-2407.4,-53.84,-0.01,-0.98,221,50%,50%,108,113,49%,-0.24,21.79221481,-21.3,-1.02,6.13,-4.58,361.63078,-0.01,-0.01,-0.01,
