,start_date,end_date,Start,End,Gross profit,Gross loss,Total Net profit,Return on initial capital,Profit factor,Total number of trades,%sell,%buy,Winning trades,Lossing trades,%profitable,Avg.Trade Net profit,Avg.Winning trade,Avg.Lossing trade,Ratio Avg.Win:Avg.Loss,Largest Winning trade,Largest Lossing trade,Cost,MD,IR/SR,ROI,MAE
RIDGE,1/1/2003 0:00,12/30/2022 0:00,10000,9696.677660000001,4889.9,-5193.17666,-303.32234,-3.00%,-0.941592139,2758,48.70%,51.30%,1347,1410,48.80%,-0.109979094,3.6301813808463255,-3.683104014,-0.98563097,8.187999999999999,-15.3311,8613.42478,-0.03324437,-0.01667273,-0.030332234,0.002702097
SVM,1/1/2003 0:00,12/30/2022 0:00,10000,9950.939240000002,886.5577200000005,-935.61848,-49.06076,-0.50%,-0.947563285,4,75.00%,25.00%,3,1,75.00%,-12.26519,295.51924000000014,-935.61848,-0.315854428,4.069999999999996,-4.245,10.776200000000001,-0.007405219,-0.01154343,-0.004906076,0.008460637
KNN,1/1/2003 0:00,12/30/2022 0:00,10000,10067.988339999998,2210.1443199999994,-2142.15598,67.98833999999897,0.70%,-1.031738277,1204,50.40%,49.60%,604,600,50.20%,0.056468720930231704,3.6591793377483435,-3.570259967,-1.024905573,8.187999999999999,-15.3311,3648.39226,-0.01995296,0.005907683,0.006798834,0.003668627
RF,1/1/2003 0:00,12/30/2022 0:00,10000,9887.15888,3482.8962600000004,-3595.73738,-112.84112,-1.10%,-0.968618086,1918,49.10%,50.90%,943,975,49.20%,-0.058832701,3.693421272534465,-3.687935774,-1.001487417,8.2958,-12.357,6053.22148,-0.018362409,-0.007325653,-0.011284112,0.003163694
XGBOOST,1/1/2003 0:00,12/30/2022 0:00,10000,10059.9863,130.79304000000002,-70.80674,59.9863,0.60%,-1.847183474,63,66.70%,33.30%,42,21,66.70%,0.9521634920634936,3.1141200000000007,-3.371749524,-0.923591737,4.811819999999989,-4.95632,187.37978,-0.003715261,0.024315212426023688,0.00599863,0.004011459
MA,1/1/2003 0:00,12/30/2022 0:00,10000,10011.772159999997,3588.9892599999976,-3577.2171,11.772159999996802,0.10%,-1.003290871,163,49.70%,50.30%,81,82,49.70%,0.07222184,44.30850938271602,-43.62459878,-1.015677178,5.831599999999996,-12.357,494.06236,-0.014601129,0.001704943,0.001660016,
